"","neurotransmitter","uniqueID","Author","Year","doi","Include_final","design_true","N_drug","N_placebo","female_pct_drug","female_pct_pla","age_drug_m","age_drug_sd","age_pla_m","age_pla_sd","age_total","female_total","Drug","Dose","drug_interpretation","single_or_multiple_drugAdministrations","acute","taskAdministrationTime_postIntervention","repeatedMean_sessionTimewindow","task","task_name","task_name2","measure","outcome_name","t","F","exact_p","drug_m","drug_sd","drug_sem","placebo_m","placebo_sd","placebo_sem","MeanDiff","SED","d_raw","r_correlation","d.direction.new","Category","secondary_category","AuthorY","design","valence","author_provided_data","Random.sequence.generation","Allocation.concealment","Blinding.of.participants.and.experimenters","Blinding.of.outcome.assessment","Incomplete.outcome.data","drug_category","drug_activity","simplified_drug_target","drug_target","simplified_drug_target2","drug_dose","treat_as"
"83","DA",149,"Kelm",2015,"https://dx.doi.org/10.1016/j.pbb.2015.01.014","Y","w",16,16,0.31,0.31,"NA (reported sepately for adults and merging adults)",NA,NA,NA,NA,"0.31","Phe / Tyr depletion","68.7g","decrease_DA","single","1","5h","at least 72h","Passive avoidance learning task","PAL","PILT/other","incorrect responses to “bad” stimuli, so called “passive avoidance errors” (PAEs)","passive avoidance errors",0.826898230594723,NA,0.42,14.1875,7.33229159267415,NA,16.1875,10.1536118368457,NA,NA,NA,NA,0.424842020103866,-1,"punishment learning sensitivity","punishment learning sensitivity","Kelm, 2015","w","p","yes","?","?","L","L","L","depletion","antagonist","catecholamine precursor depletion","catecholamine precursor depletion","other","Phe / Tyr depletion 68.7g","w"
"84","DA",150,"Kelm",2013,"https://dx.doi.org/10.1162/jocn_a_00464","Y","w",15,15,0,0,"NA (reported separately by polymorphism)",NA,NA,NA,NA,"0","Phe / Tyr depletion","68.7g","decrease_DA","single","1","5h","at least 72h","delay discounting task","DD","DD","the proportion of Now choices relative to all W condition choices made, the impulsive choice ratio (ICR)","p(choose now)",0.253931754187039,NA,0.8,1.90586708526268,0.938426673139354,0.09505,1.93204884669001,0.906352368809195,0.08712,NA,NA,NA,0.906864205822409,1,"reward discounting","","Kelm, 2013","w","r","yes","H","H","L","L","L","depletion","antagonist","catecholamine precursor depletion","catecholamine precursor depletion","other","Phe / Tyr depletion 68.7g","w"
"85","5HT",158,"Langley",2023,"https://dx.doi.org/10.1038/s41386-022-01523-x","Y","bw",32,34,64.71,65.63,"24.25","5.56","25.76","6.64","25.005","65.17","escitalopram","20mg /day","increase_5HT","multiple (3-5 weeks)","0","","","2-step task","Two-step task","2-step","Reward × Transition-Type","Reward × Transition",1.063,NA,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"model-based","","Langley, 2023","bw","r","","L","L","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","escitalopram 20mg /day","bw"
"86","5HT",168,"Luo",2024,"https://dx.doi.org/10.1038/s41386-023-01762-6","Y_incl_and_excl_for_sensanalysis","bw",32,33,0.5,0.484848485,"27","","25","","26","0.492424242","escitalopram","20mg","increase_5HT","single","1","3h","","Probabilistic reversal-learning task","probabilistic reversal","","punishment learning rate","learning rate",NA,NA,NA,0.21,0.03,NA,0.2,0.03,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning","Luo, 2024","bw","p","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","escitalopram 20mg","bw"
"87","5HT",168,"Luo",2024,"https://dx.doi.org/10.1038/s41386-023-01762-6","Y_incl_and_excl_for_sensanalysis","bw",32,33,0.5,0.484848485,"27","","25","","26","0.492424242","escitalopram","20mg","","single","1","3h","","Probabilistic reversal-learning task","probabilistic reversal","","Reward learning rate, αrew","learning rate",NA,NA,NA,0.39,0.05,NA,0.59,0.07,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning","Luo, 2024","bw","r","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","escitalopram 20mg","bw"
"88","5HT",169,"Macoveanu",2014,"https://dx.doi.org/10.1016/j.neuroimage.2014.05.040","Y","bw",13,16,0,0,"NA (reported before exclusions)","NA (reported before exclusions)","NA (reported before exclusions)","NA (reported before exclusions)",NA,"0","fluoxetine","20/40mg/day","increase_5HT","3 weeks of a daily dose","0","right after approximately 3 weeks of SSRI intake","","gambling task","gambling","","p(choose) risky option on high risk option","p(risky choice)",NA,NA,NA,83.10699523,18.52350568,NA,69.30793974,45.91740538,NA,NA,NA,NA,NA,-1,"risk attitude","","Macoveanu, 2014","bw","r","","?","H","L","L","?","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","fluoxetine 20/40mg/day","bw"
"89","DA",183,"Mehta",2001,"https://dx.doi.org/10.1007/s002130100851","Y","w",18,18,0,0,"NA (reported separately for P/B and B/P sequences)","NA (reported separately for P/B and B/P sequences)","NA (reported separately for P/B and B/P sequences)","NA (reported separately for P/B and B/P sequences)","24.15","0","bromocriptine","1.25mg","increase_DA","single","1","2h","1-2 weeks","Reward-responsivity task (Powell et al. 1996)","Reward-responsivity","","Response to reward was measured as the number of cards sorted in sort 3 minus the mean number of cards sorted in sorts 2 and 4 (averaged to account for practice)","No. cards sorted in sort 3 - No. cards sorted in sorts 2/4",1.80452877624247,3.93,0.063,1.05555555555556,4.31443844375688,NA,-1.08333333333333,4.72244328586753,NA,NA,2.65,NA,0.383501548244317,1,"reward vigour","","Mehta, 2001","w","r","yes","H","H","L","L","H","upregulate dopamine","agonist","D2 receptor agonist ","D2 receptor agonist","other","bromocriptine 1.25mg","w"
"90","DA",184,"Mehta",2005,"https://pubmed.ncbi.nlm.nih.gov/16163534/","Y","w",14,14,0.14,0.14,"33.9","8.6","33.9","8.6","33.9","0.14","Phe / Tyr depletion","","decrease_DA","single","1","5.5h",NA,"Reward-responsivity task (Powell et al. 1996)","Reward-responsivity","","‘Reward responsivity’ was defined as the number of additional cards correctly sorted when the sort was rewarded","No. extra cards correctly sorted",0.497514648095327,0.12,0.73,1.21428571428571,4.37525509460387,NA,0.357142857142857,5.55541513864062,NA,NA,0.9,NA,0.173834132527428,-1,"reward vigour","","Mehta, 2005","w","r","yes","H","H","L","L","H","depletion","antagonist","catecholamine precursor depletion","catecholamine precursor depletion","other","Phe / Tyr depletion","w"
"91","5HT",189,"Michely",2022,"https://dx.doi.org/10.1038/s42003-022-03690-5","Y","bw",33,33,0.393939394,0.393939394,"24.5","4","24.8","3.9","24.65","0.393939394","citalopram","20mg/day","increase_5HT","multiple: single dose and after 7 days daily","0","day 7","","learning-based gambling card task","gambling card","","punishment learning rate","learning rate",2,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning","Michely, 2022","bw","p","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 20mg/day","bw"
"92","5HT",189,"Michely",2022,"https://dx.doi.org/10.1038/s42003-022-03690-5","Y","bw",33,33,0.393939394,0.393939394,"24.5","4","24.8","3.9","24.65","0.393939394","citalopram","20mg/day","increase_5HT","multiple: single dose and after 7 days daily","0","day 7","","learning-based gambling task","gambling card","","reward learning rate","learning rate",2.7,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning","Michely, 2022","bw","r","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","citalopram 20mg/day","bw"
"93","DA",190,"Michely",2020,"https://dx.doi.org/10.1038/s41386-020-0669-0","Y","w",20,20,0.45,0.45,"25.6",NA,"25.6",NA,"25.6","0.45","L-dopa","150mg","increase_DA","single","1","L-dopa: 1h, haloperidol: 3h","1 week","effort task probing motor vigour","dynamic effort","","grip force for high reward","grip force high reward",3.43,NA,0.003,0.11579,0.148519635,0.03321,-0.014912,0.176533095,0.039474,NA,NA,NA,NA,1,"reward vigour_baselinertnonsign","","Michely, 2020","w","r","","H","L","L","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg","w"
"94","DA",193,"Mikus",2022,"https://dx.doi.org/10.7554/eLife.79661","Y","bw",38,35,NA,NA,"NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)",NA,NA,"amisulpride","400mg","decrease_DA","single","1","3h","bw","two-step task","Two-step task","2-step","param w","omega parameter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758,NA,-1,"model-based","","Mikus, 2022","bw","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"95","DA",193,"Mikus",2022,"https://dx.doi.org/10.7554/eLife.79661","Y","bw",38,35,NA,NA,"NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)",NA,NA,"amisulpride","400mg","decrease_DA","single","1","3h","bw","two-step task","Two-step task","other","inverse temperature","inverse temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,1,"reward learning sensitivity","reward sensitivity","Mikus, 2022","bw","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"96","5HT",200,"Murphy",2009,"https://dx.doi.org/10.1162/jocn.2009.21122","Y","bw",15,15,0.533333333,0.533333333,"26.47","1.21","24.6","0.89","25.535","0.533333333","l-tryptophan","3g/day","increase_5HT","multipl: 14 days","0","day 14","","risky choice task","gambling","","p(choose) the ‘‘experimental’’ gamble over the control","p(gamble)",NA,1.91,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"risk attitude","","Murphy, 2009","bw","r","","H","H","?","L","L","supplement","agonist","5-HT precursor  ","5-HT precursor  ","other","l-tryptophan 3g/day","bw"
"97","DA",204,"Murray",2019,"https://dx.doi.org/10.1007/s00213-019-05292-2","Y","w",18,18,0.166666667,0.166666667,"32.1","6.5","32.1","6.5","32.1","0.166666667","amisulpride","400mg","decrease_DA","single","1","60 min",NA,"probabilistic learning task (pessiglione)","PILT","PILT","No correct choices in reward trials","number correct choice",NA,NA,NA,35.17,9.46,NA,34.83,9.82,NA,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Murray, 2019","w","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"98","DA",204,"Murray",2019,"https://dx.doi.org/10.1007/s00213-019-05292-2","Y","w",18,18,0.166666667,0.166666667,"32.1","6.5","32.1","6.5","32.1","0.166666667","amisulpride","400mg","decrease_DA","single","1","60 min",NA,"probabilistic learning task (pessiglione)","PILT","PILT/other","% of correct choices in punishment trials","accuracy",NA,NA,NA,85.52120876,6.113425276,1.440948156,81,11.03086579,2.6,NA,NA,NA,NA,-1,"punishment learning sensitivity","punishment learning sensitivity","Murray, 2019","w","p","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"99","DA",218,"Pessiglione",2006,"https://doi.org/10.1038/nature05051","Y","bw",13,13,NA,NA,NA,NA,NA,NA,NA,NA,"L-dopa","100mg+25mg","increase_DA","single","1","1h","bw","probabilistic learning task (pessiglione)","PILT","PILT","rew accuracy %","accuracy",NA,NA,NA,91.7,5.047771786,1.4,85,11.53776408,3.2,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Pessiglione, 2006","bw","r","","H","H","H","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 100mg+25mg","bw"
"100","DA",218,"Pessiglione",2006,"https://doi.org/10.1038/nature05051","Y","bw",13,13,NA,NA,NA,NA,NA,NA,NA,NA,"L-dopa","100mg+25mg","increase_DA","single","1","1h","bw","probabilistic learning task (pessiglione)","PILT","PILT/other","pun accuracy %","accuracy",NA,NA,NA,86.7,7.571657678,2.1,83.1,9.374433316,2.6,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning sensitivity","Pessiglione, 2006","bw","p","","H","H","H","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","other","L-dopa 100mg+25mg","bw"
"101","DA",220,"Pine",2010,"https://dx.doi.org/10.1523/JNEUROSCI.6028-09.2010","Y","w",13,13,0.57,0.57,"21","NA (range available)","21",NA,"21","0.57","L-dopa","150mg","increase_DA","single","1","L-dopa: 30 min, haloperidol: 2.5h ","at least 1 week","Delay Discounting","DD","DD","discount rate (K)","k parameter",2.96124377199293,NA,NA,0.0446231307692308,0.0322773272607203,0.008955734,0.0241238507692308,0.0220148508298794,0.005852245,NA,NA,NA,0.635749306368884,1,"reward discounting","","Pine, 2010","w","r","yes","H","L","L","L","H","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg","w"
"102","DA",221,"Pizzagalli",2008,"https://doi.org/10.1007/s00213-007-0957-y","Y","bw",11,13,NA,NA,"NA (reported before exclusions)","NA (reported before exclusions)","NA (reported before exclusions)","NA (reported before exclusions)",NA,NA,"pramipexole","0.5mg","increase_DA","single","1","2h","bw","probabilistic reward bias task (Pizzagalli task)","PRT","other","block 3 minus block 1 response bias","response bias block 3-1",3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,-1,"reward learning sensitivity","reward learning sensitivity","Pizzagalli, 2008","bw","r","","H","H","L","L","H","upregulate dopamine","agonist","D2 receptor agonist ","D2 and D3 receptor agonist ","other","pramipexole 0.5mg","bw"
"103","DA",228,"Rigoli",2016,"https://dx.doi.org/10.1038/npp.2016.68","Y","w",32,32,0.5,0.5,"23.4","4.7","23.4","4.7","23.4","0.5","L-dopa","150mg+37.5mg","increase_DA","single","1","45 min","3 to 11 days apart","gambling task","gambling","","Average gambling","p(gamble)",1.23273132867631,1.66,0.208,48.0339382975977,22.5223051792184,NA,45.2900976966874,23.0372614225057,NA,NA,NA,NA,0.847478824423865,1,"risk attitude","","Rigoli, 2016","w","r","yes","H","L","L","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","w"
"104","5HT",230,"Robinson",2012,"https://dx.doi.org/10.1007/s00213-011-2410-5","Y_incl_and_excl_for_sensanalysis","bw",21,20,1,1,"","","","","27.6","1","TD","","decrease_5HT","single","1","5h","","reward and punishment reversal learning","observational reversal","","Non-reversal errors pun","non-reversal errors",NA,4.3,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"aversive pavlovian","","Robinson, 2012","bw","p","","H","H","H","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"105","5HT",230,"Robinson",2012,"https://dx.doi.org/10.1007/s00213-011-2410-5","Y_incl_and_excl_for_sensanalysis","bw",21,20,1,1,"","","","","27.6","1","TD","","decrease_5HT","single","1","5h","","reward and punishment reversal learning","observational reversal","","Non-reversal errors rew","non-reversal errors",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward learning sensitivity","reward learning sensitivity","Robinson, 2012","bw","r","","H","H","H","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"106","5HT",233,"Rogers",2003,"https://doi.org/10.1038/sj.npp.1300001","Y","bw",18,18,0.5,0.5,"24.2","1","23.4","0.9","23.8","0.5","TD","","decrease_5HT","single","1","5h","","gambling task","gambling","","p(choose) the ‘experimental’ over the control gamble","p(gamble)",NA,0.38,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"risk attitude","","Rogers, 2003","bw","r","","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"107","5HT",235,"Roiser",2006,"https://doi.org/10.1038/sj.npp.1301055","Y","w",30,30,0.433333333,0.433333333,NA,NA,NA,NA,"26.75","0.433333333","TD","","decrease_5HT","single","1","5h+","min 1 week","cued-reinforcement reaction-time task","CRRT","","Reinforcement-related speeding (difference in median RT bw 90 and 10% probability)","RT 90-10",0.69911241862044,NA,NA,14.582,42.1722911482131,NA,20.988,39.6343457291692,NA,NA,NA,NA,0.248445970598504,-1,"reward vigour","","Roiser, 2006","w","r","yes","H","H","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"108","DA",238,"Rutledge",2015,"https://dx.doi.org/10.1523/JNEUROSCI.0702-15.2015","Y","w",30,30,0.63,0.63,"23.4","3.8","23.4","3.8","23.4","0.63","L-dopa","150mg+37.5mg","increase_DA","single","1","60 min","1 week","gambling task","gambling","","arcsined gamble choice in gain trials","p(gamble) gain",2.41454187621418,NA,NA,2.13172172398207,0.431939753667606,3.1,1.99900421862958,0.410682720246161,3.1,NA,NA,NA,0.745798530810294,1,"risk attitude","","Rutledge, 2015","w","r","yes","H","H","L","L","L","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg+37.5mg","w"
"109","DA",245,"Scholz",2022,"https://dx.doi.org/10.1038/s41386-022-01291-8","Y","w",35,35,0.26,0.26,"31.3","8.8","31.3","8.8","31.3","0.26","tolcapone","200mg","increase_DA","single","1","1h","1 week","orthogonalised go/nogo","go/nogo","","go to avoid","go to avoid",NA,NA,NA,0.72748857,0.249222295,0.042126257,0.701425916,0.301720069,0.051,0.026062653,0.046624943,NA,NA,-1,"aversive pavlovian","","Scholz, 2022","w","p","","L","L","L","L","H","upregulate dopamine","agonist","catecholamine degradation inhibitor ","catecholamine degradation inhibitor ","other","tolcapone 200mg","w"
"110","DA",245,"Scholz",2022,"https://dx.doi.org/10.1038/s41386-022-01291-8","Y","w",35,35,0.26,0.26,"31.3","8.8","31.3","8.8","31.3","0.26","tolcapone","200mg","increase_DA","single","1","1h","1 week","orthogonalised go/nogo","go/nogo","","no go to win","nogo to win",NA,NA,NA,0.667073684,0.342008438,0.057809977,0.677879984,0.4,NA,-0.010806301,0.040462946,NA,NA,1,"appetitive pavlovian","","Scholz, 2022","w","r","","L","L","L","L","H","upregulate dopamine","agonist","catecholamine degradation inhibitor ","catecholamine degradation inhibitor ","other","tolcapone 200mg","w"
"111","5HT",247,"Schweighofer",2008,"https://dx.doi.org/10.1523/JNEUROSCI.4982-07.2008","Y","w",20,20,0,0,NA,NA,NA,NA,NA,"0","TD","","decrease_5HT","single","1","","min 1 week","dynamic delayed reward choice task","DD dynamic","","reward discounting factor gamma","discount factor gamma",2.908943925,NA,0.009,0.822,0.062609903,0.014,0.867,0.053665631,0.012,NA,NA,NA,NA,1,"reward discounting","","Schweighofer, 2008","w","r","","H","H","L","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"112","5HT",248,"Seymour",2012,"https://dx.doi.org/10.1523/JNEUROSCI.0053-12.2012","Y","bw",15,15,NA,NA,NA,NA,NA,NA,NA,NA,"TD","","decrease_5HT","single","1","","-","restless four-armed bandit","restless bandit","","punishment sensitivity","sensitivity",NA,NA,0.58,-2.43,NA,NA,-2.29,NA,NA,NA,NA,0.204446478022311,NA,1,"punishment learning sensitivity","punishment sensitivity","Seymour, 2012","bw","p","","H","L","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"113","5HT",248,"Seymour",2012,"https://dx.doi.org/10.1523/JNEUROSCI.0053-12.2012","Y","bw",15,15,NA,NA,NA,NA,NA,NA,NA,NA,"TD","","decrease_5HT","single","1","5h","-","restless four-armed bandit","restless bandit","","reward sensitivity","sensitivity",NA,NA,NA,2.5,1.587923172,0.41,4.18,1.704112672,0.44,NA,NA,NA,NA,-1,"reward learning sensitivity","reward sensitivity","Seymour, 2012","bw","r","","H","L","?","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"114","5HT",251,"Skandali",2018,"https://doi.org/10.1038/s41386-018-0229-z","Y","bw",31,33,0.5,0.484848485,"27","7","25","5","26","0.492424243","escitalopram","20mg","increase_5HT","single","1","3h","-","Probabilistic reversal learning task (Chamberlain)","Probabilistic reversal","reversal","the number of errors until reaching learning criterion in stage 2 (reversal) (indicating ability to learn the new stimulus–outcome contingencies)","reversal errors",NA,NA,NA,7.58,4.46,NA,6.58,2.57,NA,NA,NA,NA,NA,1,"model-based","","Skandali, 2018","bw","r","","H","H","?","L","L","ssri","agonist","5-HT reuptake inhibitor ","5-HT transporter inhibitor ","other","escitalopram 20mg","bw"
"115","DA",253,"Smith",2024,"https://www.biorxiv.org/content/10.1101/2024.08.28.610170v4.full.pdf","Y","w",76,76,0.421052632,0.421052632,"28.26","3.19","28.26","3.19","28.26","0.421052632","L-dopa","150mg","increase_DA","single","1","30min","1 week","temporal discounting task","DD","DD","LL choices","Larger-but-later choices",NA,NA,NA,0.69,0.21,NA,0.66,0.22,NA,NA,NA,NA,NA,-1,"reward discounting","","Smith, 2024","w","r","","H","H","?","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 150mg","bw"
"116","DA",254,"Soder",2021,"https://dx.doi.org/10.1038/s41386-020-0779-8","Y","w",28,28,0.5,0.5,"24.07","4.77","24.07","4.77","24.07","0.5","d-amphetamine","20mg","increase_DA","single","1","1.5h",NA,"EEfRT","physical effort","effort","% hard task choices","p(hard task)",NA,NA,NA,68.4248555,41.29207244,NA,53.6127168,47.79175052,NA,NA,NA,NA,NA,-1,"reward discounting","","Soder, 2021","w","r","","H","H","?","L","H","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","DA reuptake inhibitor","d-amphetamine 20mg","bw"
"117","5HT",261,"Steding",2023,"https://dx.doi.org/10.1017/S0033291721005493","Y","w",24,24,1,1,"NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)","NA (reported before exclusion)",NA,"1","TD","","decrease_5HT","single","1","4h","M = 9.64, s.d. = 3.21","reward anticipation task","physical effort","","mean number button presses high minus low reward contrast","button press high-low",0.801749654677905,NA,0.430903781,9.64041666666667,6.79942035839416,NA,10.1508333333333,6.02594168478303,NA,NA,NA,NA,0.888599193548734,-1,"reward vigour","","Steding, 2023","w","r","yes","H","H","?","L","?","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","w"
"118","5HT",265,"Tanaka",2007,"https://doi.org/10.1371/journal.pone.0001333","Y","w",12,12,0,0,NA,NA,NA,NA,NA,"0","TD","","decrease_5HT","single","1","6h","min 1 week"," multi-step delayed reward choice","multi-step DD","","% choices large reward","p(large reward choices)",NA,NA,NA,0.470810338,0.73073992,0.210946445,0.455919622,0.683880763,0.197419371,NA,NA,NA,NA,-1,"reward discounting","","Tanaka, 2007","w","r","","H","H","L","L","L","depletion","antagonist","5-HT precursor depletion","5-HT precursor depletion","other","TD","bw"
"119","5HT",268,"Thirkettle",2019,"https://dx.doi.org/10.3389/fnbeh.2019.00127","Y","bw",22,22,0.590909091,0.681818182,"21.4","3","20.8","2.6","21.1","0.636363637","Tryptophan","0.8g","increase_5HT","single","1","1h","-","reversal learning","probabilistic reversal","reversal","reversal errors % improvement post-pre drug","reversal errors",NA,NA,NA,17.43,4.9,NA,17.47,3.5,NA,NA,NA,NA,NA,-1,"model-based","","Thirkettle, 2019","bw","r","","H","H","L","L","L","supplement","agonist","5-HT precursor","5-HT precursor","other","Tryptophan 0.8g","bw"
"120","DA",280,"Vo",2018,"https://dx.doi.org/10.1016/j.neurobiolaging.2018.05.014","Y","bw",13,13,NA,NA,"","","","",NA,NA,"L-dopa","100mg+25mg","increase_DA","single","1","45min","","probabilistic reversal learning task","probabilistic reversal","reversal","mean number of errors in stimulus-reward reversals","reversal errors",NA,NA,NA,54.53517177,29.62298683,8.215938303,30.67445665,5.911789612,1.639635429,NA,NA,NA,NA,-1,"model-based","","Vo, 2018","bw","r","","H","H","L","L","?","upregulate dopamine","agonist","DA precursor","DA precursor","DA precursor","L-dopa 100mg+25mg","bw"
"121","DA",288,"Wagner",2020,"https://dx.doi.org/10.1523/JNEUROSCI.0592-20.2020","Y","bw",23,26,0.65,0.82,"23.3","2.5","24.4","3.4","23.85","0.735","haloperidol","2mg","decrease_DA","single","1","5h","bw","temporal discounting task","DD","DD","proportion of long delay choices","p(delay)",NA,3.47,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward discounting","","Wagner, 2020","bw","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 receptor antagonist","D2 receptor antagonist","haloperidol 2mg","bw"
"122","DA",289,"Walsh",2018,"https://dx.doi.org/10.3389/fpsyt.2018.00482","Y","bw",20,20,0.5,0.5,"23.2","4.66","24.45","3.49","23.825","0.5","bupropion","150mg","increase_DA","single","1","3h","bw","probabilistic learning task (pessiglione)","PILT","PILT/other","the amount lost","points lost",1.18,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"punishment learning sensitivity","punishment learning sensitivity","Walsh, 2018","bw","p","","H","L","L","L","H","monomamine reuptake inhibitor","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","other","bupropion 150mg","bw"
"123","DA",289,"Walsh",2018,"https://dx.doi.org/10.3389/fpsyt.2018.00482","Y","bw",20,20,0.5,0.5,"23.2","4.66","24.45","3.49","23.825","0.5","bupropion","150mg","increase_DA","single","1","3h","bw","probabilistic instrumental learning task (Pessiglione)","PILT","PILT","the amount won","points won",0.2,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"reward learning sensitivity","reward learning sensitivity","Walsh, 2018","bw","r","","H","L","L","L","H","monomamine reuptake inhibitor","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor","DA reuptake inhibitor","bupropion 150mg","bw"
"124","DA",290,"Wardle",2011,"https://dx.doi.org/10.1523/JNEUROSCI.4387-11.2011","Y","w",17,17,0.65,0.65,"22.7","3.5","22.7","3.5","22.7","0.65","d-amphetamine","20mg","increase_DA","single","1","2h","3-113 days","EEfRT","physical effort","effort","selection of HC/HR options","p(hard task)",NA,NA,NA,0.53207547,0.115135787,NA,0.45962264,0.112023996,NA,NA,NA,NA,NA,-1,"reward discounting","","Wardle, 2011","w","r","","H","H","L","L","L","stimulant","agonist","DA reuptake inhibitor","DA and NA transporter inhibitor and NA, DA, 5-HT releaser ","DA reuptake inhibitor","d-amphetamine 20mg","bw"
"125","DA",292,"Weber",2016,"https://dx.doi.org/10.1038/tp.2016.113","Y","bw",40,40,NA,NA,NA,NA,NA,NA,NA,NA,"amisulpride","400mg","decrease_DA","single","1","3h","bw","delay discounting task","DD","DD","proportion of smaller immediate rewards chosen","p(choose now)",2.58,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reward discounting","","Weber, 2016","bw","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
"126","DA",292,"Weber",2016,"https://dx.doi.org/10.1038/tp.2016.113","Y","bw",41,40,NA,NA,"21.46","0.38","22.15","0.38","21.805",NA,"amisulpride","400mg","decrease_DA","single","1","3h","bw","PIT task","PIT","","the difference between button-pressing for the rewarded and unrewarded CSs","button press rew-unrew CS",3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"appetitive pavlovian","","Weber, 2016","bw","r","","H","H","L","L","H","antipsychotic","antagonist","D2 receptor antagonist","D2 and D3 receptor antagonist","D2 receptor antagonist","amisulpride 400mg","bw"
